,sub,condition,hit,fa,dprime,response_type,probe_hit,probe_fa,probe_dprime,duration,property,Dist,RE
142,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Small_RE_Small_2,,,,probe,0.286,0.222,0.2,50.0,Dist_Small_RE_Small,Small,Small
143,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Small_RE_Small_5,,,,probe,0.857,0.056,2.656,84.0,Dist_Small_RE_Small,Small,Small
144,f6e87870-50ab-4b9c-b96b-e716fb583ae4,,0.025,0.025,0.0,image,,,,,,,
145,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Large_RE_Small_10,0.812,0.125,2.036,image,,,,167.0,Dist_Large_RE_Small,Large,Small
146,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Large_RE_Small_5,0.562,0.125,1.306,image,,,,84.0,Dist_Large_RE_Small,Large,Small
147,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Small_RE_Large_10,0.562,0.062,1.694,image,,,,167.0,Dist_Small_RE_Large,Small,Large
148,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Small_RE_Small_10,0.312,0.125,0.66,image,,,,167.0,Dist_Small_RE_Small,Small,Small
149,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Large_RE_Small_2,0.625,0.125,1.469,image,,,,50.0,Dist_Large_RE_Small,Large,Small
150,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Large_RE_Large_10,0.938,0.188,2.423,image,,,,167.0,Dist_Large_RE_Large,Large,Large
151,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Small_RE_Small_5,0.188,0.188,0.0,image,,,,84.0,Dist_Small_RE_Small,Small,Small
152,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Small_RE_Large_5,0.312,0.015625,1.664,image,,,,84.0,Dist_Small_RE_Large,Small,Large
153,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Large_RE_Large_5,0.625,0.015625,2.473,image,,,,84.0,Dist_Large_RE_Large,Large,Large
154,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Small_RE_Large_2,0.375,0.015625,1.835,image,,,,50.0,Dist_Small_RE_Large,Small,Large
155,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Small_RE_Small_2,0.25,0.015625,1.479,image,,,,50.0,Dist_Small_RE_Small,Small,Small
156,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Large_RE_Large_2,0.25,0.062,0.864,image,,,,50.0,Dist_Large_RE_Large,Large,Large
157,f6e87870-50ab-4b9c-b96b-e716fb583ae4,,,,,probe,0.025,0.025,0.0,,,,
158,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Large_RE_Small_10,,,,probe,0.4,0.118,0.932,167.0,Dist_Large_RE_Small,Large,Small
159,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Large_RE_Small_5,,,,probe,0.417,0.1,1.072,84.0,Dist_Large_RE_Small,Large,Small
160,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Small_RE_Large_10,,,,probe,0.923,0.053,3.042,167.0,Dist_Small_RE_Large,Small,Large
161,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Small_RE_Small_10,,,,probe,0.984375,0.05,3.799,167.0,Dist_Small_RE_Small,Small,Small
162,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Large_RE_Small_2,,,,probe,0.417,0.05,1.435,50.0,Dist_Large_RE_Small,Large,Small
163,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Large_RE_Large_10,,,,probe,0.692,0.053,2.118,167.0,Dist_Large_RE_Large,Large,Large
